City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.05,79,78,13.88,SH,1717188614
1,thompson,55.7435,-97.8558,13.09,76,75,9.77,CA,1717188614
2,puerto natales,-51.7236,-72.4875,0.25,100,100,1.03,CL,1717188614
3,blackfoot,43.1905,-112.345,21.14,29,3,3.58,US,1717188614
4,lakhdaria,36.5646,3.5933,19.04,89,14,1.28,DZ,1717188615
5,uturoa,-16.7333,-151.4333,27.25,70,28,4.93,PF,1717188615
6,obsharovka,53.125,48.8531,18.37,70,80,4.44,RU,1717188615
7,albany,42.6001,-73.9662,23.65,37,38,1.79,US,1717188451
8,balikpapan,-1.2675,116.8289,24.55,100,40,1.03,ID,1717188334
9,adamstown,-25.066,-130.1015,20.17,64,7,3.76,PN,1717188615
10,bayanhongor,46.7167,100.1167,5.56,59,99,1.42,MN,1717188615
11,ushuaia,-54.8,-68.3,-0.19,86,0,1.03,AR,1717188280
12,kailua-kona,19.6406,-155.9956,26.98,77,75,3.6,US,1717188615
13,invercargill,-46.4,168.35,12.79,90,100,3.58,NZ,1717188616
14,bethel,41.3712,-73.414,25.0,38,20,5.66,US,1717188591
15,mahina,-17.5065,-149.489,28.87,65,20,1.54,PF,1717188616
16,tiksi,71.6872,128.8694,4.62,68,100,3.92,RU,1717188616
17,taoudenni,22.6783,-3.9836,35.17,10,3,3.91,ML,1717188616
18,waitangi,-43.9535,-176.5597,12.68,92,94,1.34,NZ,1717188616
19,kawm umbu,24.4767,32.9463,30.17,13,0,5.61,EG,1717188616
20,grytviken,-54.2811,-36.5092,-0.89,89,100,5.29,GS,1717188616
21,iqaluit,63.7506,-68.5145,0.85,59,75,5.66,CA,1717188617
22,metlili chaamba,32.2667,3.6333,29.52,30,75,8.23,DZ,1717188617
23,bhimunipatnam,17.8833,83.4333,28.98,88,71,3.86,IN,1717188617
24,port elizabeth,-33.918,25.5701,15.16,94,100,3.6,ZA,1717188617
25,lebu,-37.6167,-73.65,11.94,92,58,0.42,CL,1717188617
26,akbarabad,29.2464,52.7793,24.79,18,0,1.87,IR,1717188617
27,atafu village,-8.5421,-172.5159,29.07,75,46,5.1,TK,1717188618
28,west island,-12.1568,96.8225,26.99,94,75,3.09,CC,1717188618
29,hami,42.8,93.45,23.26,17,98,6.74,CN,1717188618
30,port-aux-francais,-49.35,70.2167,7.21,91,91,15.43,TF,1717188618
31,tura,25.5198,90.2201,23.37,99,76,2.03,IN,1717188618
32,blackmans bay,-43.0167,147.3167,8.07,78,9,2.73,AU,1717188618
33,ahlerstedt,53.4,9.45,17.79,95,71,2.56,DE,1717188619
34,rongelap,11.1635,166.8941,27.7,81,100,5.75,MH,1717188619
35,mazagao,-0.115,-51.2894,26.03,90,46,1.85,BR,1717188619
36,lohaghat,29.4036,80.0897,17.49,14,0,2.91,IN,1717188619
37,dhidhdhoo,6.8833,73.1,28.62,82,100,8.61,MV,1717188619
38,yellowknife,62.456,-114.3525,10.23,66,100,8.75,CA,1717188530
39,kill devil hills,36.0307,-75.676,23.0,52,0,5.66,US,1717188620
40,severo-yeniseyskiy,60.3725,93.0408,-0.24,92,80,1.79,RU,1717188620
41,ajaccio,42.0,8.9167,15.03,85,0,2.06,FR,1717188568
42,somero,60.6167,23.5333,18.87,73,24,0.64,FI,1717188371
43,tamanrasset,22.785,5.5228,28.95,9,0,2.06,DZ,1717188620
44,ilulissat,69.2167,-51.1,2.01,51,20,3.6,GL,1717188620
45,aripuana,-9.1667,-60.6333,30.57,47,2,0.71,BR,1717188620
46,minas de marcona,-15.2119,-75.1103,18.02,54,2,6.1,PE,1717188621
47,crane,31.3974,-102.3501,33.83,30,1,4.85,US,1717188621
48,mallammaduri,12.565,9.9573,31.63,41,97,7.07,NG,1717188621
49,aasiaat,68.7098,-52.8699,-0.78,64,42,4.35,GL,1717188621
50,allegan,42.5292,-85.8553,26.36,38,54,1.79,US,1717188621
51,dabakala,8.3667,-4.4333,23.83,91,91,3.12,CI,1717188621
52,port saint john's,-31.6229,29.5448,18.54,76,100,1.98,ZA,1717188622
53,east london,-33.0153,27.9116,17.39,88,100,1.84,ZA,1717188622
54,fauske,67.2588,15.3918,11.02,87,71,1.56,NO,1717188622
55,fomboni,-12.28,43.7425,27.25,76,7,3.2,KM,1717188622
56,port alfred,-33.5906,26.891,13.99,98,100,5.65,ZA,1717188622
57,lata,40.1629,-8.3327,19.72,47,4,3.69,PT,1717188622
58,lazaro cardenas,17.9583,-102.2,30.83,56,89,5.78,MX,1717188623
59,ji'an,27.1172,114.9793,20.97,98,100,2.18,CN,1717188623
60,pahlgam,34.0333,75.3333,8.46,55,74,4.22,IN,1717188623
61,utrik,11.2278,169.8474,27.92,81,100,5.6,MH,1717188623
62,sagaing,21.8787,95.9797,28.81,75,100,5.12,MM,1717188623
63,olonkinbyen,70.9221,-8.7187,0.95,85,100,8.37,SJ,1717188623
64,naracoorte,-36.9579,140.7383,7.8,87,51,0.66,AU,1717188623
65,vilyuchinsk,52.9306,158.4028,7.18,67,64,1.72,RU,1717188624
66,horta,38.5333,-28.6333,17.8,87,40,2.57,PT,1717188624
67,college,64.8569,-147.8028,19.48,41,20,2.68,US,1717188624
68,papatowai,-46.5619,169.4708,15.2,70,68,5.98,NZ,1717188624
69,ribeira grande,38.5167,-28.7,18.22,82,40,2.57,PT,1717188624
70,kerikeri,-35.2268,173.9474,11.66,86,61,1.18,NZ,1717188624
71,cambridge,43.3601,-80.3127,23.27,33,0,1.54,CA,1717188607
72,el obeid,13.1842,30.2167,34.96,24,88,2.64,SD,1717188625
73,zhelezinka,53.54,75.3072,7.92,55,70,1.73,KZ,1717188625
74,acarau,-2.8856,-40.12,25.84,87,89,5.44,BR,1717188625
75,as sulayyil,20.4607,45.5779,35.14,11,99,2.6,SA,1717188625
76,iskateley,67.6803,53.1512,-2.21,96,9,2.24,RU,1717188625
77,san carlos del zulia,9.0,-71.9135,34.01,52,57,3.13,VE,1717188625
